part_no,scan_point_id,scan_x,scan_y,scan_value,sheet_x,sheet_y,projected_x,projected_y,correction_value,match_distance_px,raw_diff,residual,machining_note
64XX2,P-23,596,248,-0.5,717.2,407.5,575.0,254.8,-0.2,22.0,0.3,-0.7,가공(살빼기)
64XX2,P-21,789,260,-0.3,486.9,425.7,803.8,271.4,-0.4,18.6,-0.1,-0.7,가공(살빼기)
64XX2,P-31,559,356,-1.4,716.6,535.1,575.6,371.0,-0.5,22.4,0.9,-1.9,가공(살빼기)
64XX2,P-31,559,356,-1.4,716.6,535.1,575.6,371.0,0.0,22.4,1.4,-1.4,변경없음
64XX2,P-35,789,407,-0.5,482.4,560.6,808.2,394.2,-0.7,23.1,-0.2,-1.2,가공(살빼기)
64XX2,P-45,706,426,-1.5,588.6,587.2,702.8,418.5,-0.8,8.2,0.7,-2.3,가공(살빼기)
64XX2,P-46,600,437,-1.8,699.0,587.5,593.1,418.7,-0.7,19.5,1.1,-2.5,가공(살빼기)
64XX2,P-62,799,506,1.0,492.1,691.6,798.6,513.5,-0.7,7.6,-1.7,0.3,가공(살빼기)
64XX2,P-61,597,505,-1.5,676.1,692.0,615.9,513.9,-0.9,20.9,0.6,-2.4,가공(살빼기)
64XX2,P-63,877,506,-0.4,400.1,692.0,890.0,513.9,-0.5,15.2,-0.1,-0.9,가공(살빼기)
64XX2,P-59,429,505,-0.5,851.1,692.0,442.0,513.9,-0.7,15.8,-0.2,-1.2,가공(살빼기)
64XX2,P-60,357,506,0.3,926.8,703.4,366.9,524.3,0.0,20.8,-0.3,0.3,변경없음
64XX2,P-58,746,508,-1.4,554.1,692.0,737.0,513.9,-0.8,10.8,0.6,-2.2,가공(살빼기)
64XX2,P-56,485,503,-10.0,781.1,692.0,511.6,513.9,-0.5,28.7,9.5,-10.5,가공(살빼기)
64XX2,P-65,1005,507,0.4,280.8,720.3,1008.4,539.7,0.0,32.9,-0.4,0.4,변경없음
67XX6,P-07,583,142,-1.9,395.4,250.7,583.6,140.5,0.0,1.6,1.9,-1.9,변경없음
67XX6,P-04,422,131,-1.1,299.6,245.7,433.9,133.3,0.0,12.1,1.1,-1.1,변경없음
67XX6,P-46,756,232,-0.7,523.7,315.0,784.2,233.5,1.0,28.2,1.7,0.3,용접(살붙이기)
67XX6,P-43,1098,233,-2.0,703.7,315.0,1065.6,233.5,2.5,32.4,4.5,0.5,용접(살붙이기)
67XX6,P-41,958,234,-1.6,609.7,316.0,918.6,234.9,1.5,39.4,3.1,-0.1,용접(살붙이기)-축소반영
67XX6,P-86,236,714,8.0,169.9,673.1,231.1,751.3,1.0,37.6,-7.0,9.0,용접(살붙이기)
67XX6,P-98,1026,785,-1.1,704.4,696.7,1066.7,785.4,0.0,40.7,1.1,-1.1,변경없음
67XX6,P-111,245,827,-2.3,175.9,729.1,240.5,832.3,2.3,7.0,4.6,0.0,용접(살붙이기)
67XX6,P-109,1088,852,-0.1,720.3,759.0,1091.5,875.5,2.0,23.8,2.1,1.9,용접(살붙이기)
67XX6,P-119,276,898,-1.7,193.9,779.1,268.6,904.6,1.7,9.9,3.4,0.0,용접(살붙이기)
67XX6,P-125,950,873,-3.4,639.3,762.0,964.9,879.9,3.1,16.4,6.5,-0.3,용접(살붙이기)-축소반영
71XX2,P-25,743,528,-0.5,673.9,712.8,727.4,520.3,0.0,17.4,0.5,-0.5,변경없음
71XX2,P-37,129,624,1.7,893.2,804.3,113.2,625.1,2.0,15.8,0.3,3.7,용접(살붙이기)
